un,condition,vis,totalTime,visTime,hoverCount,clickCount,brushCount
254,none,gun-deaths,57.593,53.577,0,0,0
255,all,us-healthcare,32.583,31.27,12,1,0
257,int,us-healthcare,2.889,0.729,3,0,0
269,int,gun-deaths,108.184,1.55,0,6,0
248,story,carbon-clock,432.714,213.249,4400,0,0
270,none,gun-deaths,166.797,154.732,0,0,0
282,int,carbon-clock,50.572,11.952,11,3,64
279,none,measles,112.968,46.576,0,0,0
283,none,carbon-clock,37.119,25.592,0,0,0
266,none,carbon-clock,51.758,33.677,0,0,0
274,int,us-healthcare,258.957,95.495,25,15,0
277,story,measles,205.287,97.657,0,0,0
287,none,gun-deaths,18.277,15.09,0,0,0
286,int,gun-deaths,36.887,2.857,0,1,0
281,story,carbon-clock,218.754,44.442,314,0,0
278,int,measles,124.919,92.352,59,12,0
289,story,us-healthcare,168.491,166.201,1,0,0
272,all,us-healthcare,207.89,165.307,51,12,0
285,story,gun-deaths,275.782,20.044,0,0,0
278,int,measles,111.661,91.22,90,12,0
299,none,carbon-clock,10.693,7.329,0,0,0
289,story,us-healthcare,5.424,0.05,0,0,0
280,all,carbon-clock,209.454,85.282,298,0,0
299,none,carbon-clock,3.189,0.79,0,0,0
297,story,carbon-clock,115.045,22.622,733,0,0
303,none,gun-deaths,27.579,23.242,0,0,0
295,none,measles,150.176,33.81,0,0,0
278,int,measles,102.009,98.132,40,13,0
296,all,carbon-clock,169.885,0.866,13,0,0
276,all,measles,338.227,201.212,0,2,0
288,all,us-healthcare,411.112,193.815,28,54,0
306,int,us-healthcare,70.393,19.021,2,0,0
301,story,gun-deaths,136.139,131.727,0,0,0
304,all,us-healthcare,134.92,26.667,42,2,0
309,story,measles,100.284,56.437,0,0,0
315,none,carbon-clock,49.436,17.924,0,0,0
313,story,carbon-clock,73.787,0.26,11,0,0
298,int,carbon-clock,94.356,68.677,1007,4,8
289,story,us-healthcare,6.239,0,0,0,0
308,all,measles,117.266,101.808,0,1,0
293,story,measles,101.924,69.386,0,0,0
319,none,gun-deaths,52.087,45.241,0,0,0
319,none,gun-deaths,52.118,45.241,0,0,0
311,none,measles,95.754,25.482,0,0,0
322,int,us-healthcare,33.547,8.5,5,0,0
318,int,gun-deaths,177.535,0.253,0,17,0
323,none,us-healthcare,102.824,8.126,0,0,0
310,int,measles,151.803,131.656,159,9,0
305,story,us-healthcare,409.071,181.499,164,0,0
320,all,us-healthcare,206.204,138.514,2,25,0
326,int,measles,105.175,84.026,57,7,0
321,story,us-healthcare,185.688,1.443,0,0,0
312,all,carbon-clock,110.778,88.697,1773,4,8
324,all,measles,159.593,131.719,0,4,0
289,story,us-healthcare,4.276,0,0,0,0
314,story,carbon-clock,313.238,280.845,337,0,0
323,none,us-healthcare,30.144,0,0,0,0
335,none,gun-deaths,112.419,110.272,0,0,0
334,int,gun-deaths,92.867,1.156,0,13,0
334,int,gun-deaths,92.825,1.156,0,13,0
329,story,carbon-clock,199.796,83.657,121,0,0
330,int,carbon-clock,207.916,172.092,587,5,204
337,all,measles,169.218,99.106,0,1,0
344,none,carbon-clock,26.973,7.523,0,0,0
341,all,carbon-clock,185.807,33.292,1,5,55
