"ResponseId","narrative","interactivity","vis","uptime","interactions","correct","size"
"R_RP2jwByfFQ1fnxL","True","True","carbon-clock",185.807,5,10,11
"R_rqJtIZ1oIu1KAc9","True","True","us-healthcare",411.112,54,9,11
"R_RxniI87PyJiO0yR","True","False","measles",203.556,0,8,11
"R_SGIDA3yikokY9IR","True","False","carbon-clock",114.742,0,8,11
"R_SIeNJnONCF3Isdr","True","False","gun-deaths",46.372,0,3,11
"R_SJe5Xy6qPwItRNn","False","False","carbon-clock",112.805,0,7,11
"R_sSg12KfyEf8cOCB","True","True","us-healthcare",151.981,0,8,11
"R_ST9Y9D9DYETuIff","False","False","us-healthcare",122.047,0,7,11
"R_tFfdZszW9rXsIFj","False","True","us-healthcare",5.087,0,9,11
"R_Tw0uIlhF5sja50J","False","True","measles",169.264,4,6,11
"R_tYcMadBWXqKasg1","False","True","carbon-clock",158.957,4,7,11
"R_u3oSSjVBEiWOZWh","False","False","us-healthcare",273.497,0,7,11
"R_u9rfFLBM9EqqXmh","True","False","gun-deaths",43.618,0,4,11
"R_ufYHwOMKn9fGlMJ","True","False","carbon-clock",302.751,0,9,11
"R_UH0lyegLDuolkMp","True","False","carbon-clock",280.665,0,8,11
"R_UipT4UbgF0LtC6d","True","True","gun-deaths",269.189,0,8,11
"R_UXF0mtuYsVaERSV","False","True","us-healthcare",6.912,0,3,11
"R_vH0kqNph63xBJcZ","False","True","carbon-clock",81.74,1,8,11
"R_vIdrRcQVsV83865","False","True","measles",85.103,3,6,11
"R_vSnIBmykS8EHv9f","True","False","us-healthcare",409.071,0,7,11
"R_VVZmWi8uqcg2etP","False","True","carbon-clock",120.478,3,6,11
"R_W2Ruzvpc9kYcso1","False","True","gun-deaths",91.795,17,4,11
"R_wLt5zoI0xmoJ9rr","False","True","us-healthcare",3.716,0,4,11
"R_wNSsQpKEbEUbjK9","False","False","us-healthcare",102.824,0,4,11
"R_XAfX0KRYVmfxnvr","True","True","carbon-clock",110.778,4,9,11
"R_XGQ3vkygNSkXlcZ","False","False","carbon-clock",62.734,0,7,11
"R_xivTy6zsmp0L0uR","False","True","us-healthcare",63.114,0,7,11
"R_XkbjkbkiiD3SaJP","False","False","measles",280.107,0,7,11
"R_xlJkG88rokn5Qu5","True","False","gun-deaths",184.226,0,7,11
"R_Xw9qdaCktpYvwVH","True","True","measles",347.916,8,10,11
